Match_Status,RefId,LocalDate,paymentMethod1,Item_SubTotal,Order_SubTotal,SubTotal_Difference,Item_Discount,Order_Discount,Discount_Difference,Item_Total,Order_Total,Total_Difference,Item_Tax,Order_Tax,Tax_Difference,Is_Anomaly
❌ Anomaly,03228613-cafa-4565-a9f9-317c93839f8d,2026-03-09,GoFood - Delivery,46000.0,46000.0,0.0,0.0,0.0,0.0,37477.48,46000.0,-8522.52,4261.26,4261.26,0.0,true
❌ Anomaly,13b45d44-b138-469d-ba73-403c2f76b832,2026-03-09,GoFood - Delivery,,150000.0,-150000.0,,40000.0,-40000.0,,110000.0,-110000.0,,14369.37,-14369.37,true
❌ Anomaly,153564ef-76d6-4dd7-8f75-223183cbaae5,2026-03-09,GoFood - Delivery,197000.0,197000.0,0.0,40000.0,40000.0,0.0,118945.95,157000.0,-38054.05,19027.03,19027.03,0.0,true
❌ Anomaly,15bc42ad-29b8-4f59-a9e8-5982f76cbd05,2026-03-09,BRI,94000.0,94000.0,0.0,0.0,0.0,0.0,76909.09,94000.0,-17090.91,8545.45,8545.45,0.0,true
❌ Anomaly,175df913-70a9-403a-905a-4693f5ccc1ab,2026-03-09,ShopeeFood,40000.0,40000.0,0.0,0.0,0.0,0.0,32727.27,40000.0,-7272.73,3636.36,3636.36,0.0,true
❌ Anomaly,21520589-51a7-4f8a-826d-99fc9c3b0830,2026-03-09,GoFood - Delivery,54000.0,54000.0,0.0,0.0,0.0,0.0,43891.89,54000.0,-10108.11,5054.05,5054.05,0.0,true
❌ Anomaly,23471d90-dee9-4b0e-ae55-89566775d990,2026-03-09,GrabFood - Delivery,122000.0,122000.0,0.0,0.0,0.0,0.0,99818.0,122000.0,-22182.0,11091.0,11091.0,0.0,true
❌ Anomaly,241e6517-527f-46b5-8455-4380efb508b1,2026-03-09,GoFood - Delivery,,150000.0,-150000.0,,40000.0,-40000.0,,110000.0,-110000.0,,14369.37,-14369.37,true
❌ Anomaly,2b94998f-0019-4bba-8811-35b56263767d,2026-03-09,GrabFood - Delivery,52000.0,52000.0,0.0,0.0,0.0,0.0,42544.0,52000.0,-9456.0,4728.0,4728.0,0.0,true
❌ Anomaly,2c7e6e56-6993-4295-9f85-6800f54920f4,2026-03-09,BCA,28000.0,28000.0,0.0,0.0,0.0,0.0,22909.09,28000.0,-5090.91,2545.45,2545.45,0.0,true
❌ Anomaly,2ee56707-56ce-4dc8-9444-e56d772badd1,2026-03-09,BRI,43000.0,43000.0,0.0,0.0,0.0,0.0,35181.82,43000.0,-7818.18,3909.09,3909.09,0.0,true
❌ Anomaly,31489114-be7d-473f-b810-5253425b080a,2026-03-09,BRI,107000.0,107000.0,0.0,0.0,0.0,0.0,87545.45,107000.0,-19454.55,9727.27,9727.27,0.0,true
❌ Anomaly,32e8b2cb-02ba-4574-ac18-922d8ca86753,2026-03-09,GoFood - Delivery,224000.0,224000.0,0.0,40000.0,40000.0,0.0,141585.59,184000.0,-42414.41,21207.21,21207.21,0.0,true
❌ Anomaly,3b183fb7-c7aa-4467-bbfc-85434c40532a,2026-03-09,BRI,90818.0,90818.0,0.0,0.0,0.0,0.0,74305.64,90818.0,-16512.36,8256.18,8256.18,0.0,true
❌ Anomaly,3b20a6a3-15cc-45a3-b54b-e39fb5b61211,2026-03-09,BRI,36000.0,36000.0,0.0,0.0,0.0,0.0,29454.55,36000.0,-6545.45,3272.73,3272.73,0.0,true
❌ Anomaly,3de65142-c8e2-45ce-afa8-6cf98f90b929,2026-03-09,GrabFood - Delivery,122002.0,122002.0,0.0,0.0,0.0,0.0,99816.0,122002.0,-22186.0,11093.0,11093.0,0.0,true
❌ Anomaly,434631b2-aae8-4d29-9a86-d2bf6b53ea6b,2026-03-09,GoFood - Delivery,178000.0,178000.0,0.0,40000.0,40000.0,0.0,103711.71,138000.0,-34288.29,17144.14,17144.14,0.0,true
❌ Anomaly,4a5a433f-e561-4317-9a25-af02f5391479,2026-03-09,BRI,43000.0,43000.0,0.0,0.0,0.0,0.0,35181.82,43000.0,-7818.18,3909.09,3909.09,0.0,true
❌ Anomaly,4c959f47-4e1e-4d72-a7fb-235ad2a9c50b,2026-03-09,GrabFood - Delivery,46000.0,46000.0,0.0,0.0,0.0,0.0,37636.0,46000.0,-8364.0,4182.0,4182.0,0.0,true
❌ Anomaly,4d15ba7c-0c0a-4559-a05b-3723f8a90034,2026-03-09,GoFood - Delivery,43000.0,43000.0,0.0,0.0,0.0,0.0,35072.07,43000.0,-7927.93,3963.96,3963.96,0.0,true
❌ Anomaly,4eb05f57-58cd-491b-8cf1-a486a22aa4ce,2026-03-09,BRI,47000.0,47000.0,0.0,0.0,0.0,0.0,38454.55,47000.0,-8545.45,4272.73,4272.73,0.0,true
❌ Anomaly,527feef5-71d5-42b2-af43-027b4673c879,2026-03-09,ShopeeFood,76000.0,76000.0,0.0,0.0,0.0,0.0,62181.82,76000.0,-13818.18,6909.09,6909.09,0.0,true
❌ Anomaly,57b12083-0ce9-40c0-9a1f-2ec427a5421f,2026-03-09,GoFood - Delivery,141000.0,141000.0,0.0,40000.0,40000.0,0.0,74045.05,101000.0,-26954.95,13477.48,13477.48,0.0,true
❌ Anomaly,63d63381-2c4a-4625-af0e-76060e105763,2026-03-09,GoFood - Delivery,48000.0,48000.0,0.0,0.0,0.0,0.0,39081.08,48000.0,-8918.92,4459.46,4459.46,0.0,true
❌ Anomaly,6826f133-cb8b-425f-8156-af0f7e4016ee,2026-03-09,GoFood - Delivery,186243.24,186243.24,0.0,88000.0,88000.0,0.0,70891.89,98243.24,-27351.35,13675.68,13675.68,0.0,true
❌ Anomaly,6935aa46-2bc3-4e9c-875f-c3b6e9a45c40,2026-03-09,GoFood - Delivery,90000.0,90000.0,0.0,0.0,0.0,0.0,72756.76,90000.0,-17243.24,8621.62,8621.62,0.0,true
❌ Anomaly,70670820-d66c-41f4-87df-aae59bfe0346,2026-03-09,GoFood - Delivery,79000.0,79000.0,0.0,0.0,0.0,0.0,63936.94,79000.0,-15063.06,7531.53,7531.53,0.0,true
❌ Anomaly,7276f8b5-74d3-4622-a00f-838f16a29bde,2026-03-09,GoFood - Delivery,68000.0,68000.0,0.0,0.0,0.0,0.0,55117.12,68000.0,-12882.88,6441.44,6441.44,0.0,true
❌ Anomaly,72f6df95-58db-4bdc-9ee1-f10cb79d5117,2026-03-09,GoFood - Delivery,105000.0,105000.0,0.0,0.0,0.0,0.0,85180.18,105000.0,-19819.82,9909.91,9909.91,0.0,true
❌ Anomaly,8435009a-6ada-4946-80d8-0fc434df0d75,2026-03-09,GoFood - Delivery,140000.0,140000.0,0.0,35000.0,35000.0,0.0,78243.24,105000.0,-26756.76,13378.38,13378.38,0.0,true
❌ Anomaly,8c0583f4-7cf3-440a-b8e9-db1e99ffa055,2026-03-09,GoFood - Delivery,,61000.0,-61000.0,,0.0,0.0,,61000.0,-61000.0,,5747.75,-5747.75,true
❌ Anomaly,8ed3c198-23b0-4170-aea8-d16b5dd6f8ad,2026-03-09,GoFood - Delivery,148000.0,148000.0,0.0,40000.0,40000.0,0.0,79657.66,108000.0,-28342.34,14171.17,14171.17,0.0,true
❌ Anomaly,8eda9cb5-89ff-4c05-8558-8984aaaf037e,2026-03-09,BCA,56000.0,56000.0,0.0,0.0,0.0,0.0,45818.18,56000.0,-10181.82,5090.91,5090.91,0.0,true
❌ Anomaly,8f4f16a4-ec06-47e5-8e0e-20f252df0121,2026-03-09,BRI,84000.0,84000.0,0.0,0.0,0.0,0.0,68727.27,84000.0,-15272.73,7636.36,7636.36,0.0,true
